EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
Z100Ex85-3,2020,Other,100,E,-1,FALSE,85,,3,,FALSE,,293,49,342,85.67251462,69,16.788,0.858,0.657,0.809,149,267,0,416,35.81730769,144,144,-218,218,-74,74,49.85520693,49.85520693,2.39193061,0.65158371,-1.379746835,-0.19525066
Z102Ex85-4,2020,Other,102,E,-1,FALSE,85,,4,,FALSE,,198,170,368,53.80434783,1,0.271,0.984,0.988,0.986,197,173,0,370,53.24324324,1,1,-3,3,-2,2,0.561104583,0.561104583,1.010538512,0.005063291,-0.017492711,-0.005420054
Z103x226A-2,2020,Other,103,,-1,FALSE,226,A,2,,FALSE,,207,174,381,54.33070866,0,0,0.991,0.99,0.99,211,182,0,393,53.68956743,-4,4,-8,8,-12,12,0.641141231,0.641141231,1.011941635,-0.019138756,-0.04494382,-0.031007752
Z103x227B-1,2020,Other,103,,-1,FALSE,227,B,1,,FALSE,,1,292,293,0.341296928,1,0.34,0.682,0.986,0.984,,,,,,,,,,,,,,,,,
Z103x227B-2,2020,Other,103,,-1,FALSE,227,B,2,,FALSE,,8,198,206,3.883495146,2,0.962,0.683,0.966,0.952,,,,,,,,,,,,,,,,,
Z103x229A-1,2020,Other,103,,-1,FALSE,229,A,1,,FALSE,,251,79,330,76.06060606,1,0.302,0.989,0.983,0.988,,,,,,,,,,,,,,,,,
Z103x229A-2,2020,Other,103,,-1,FALSE,229,A,2,,FALSE,,241,67,308,78.24675325,1,0.324,0.989,0.987,0.989,,,,,,,,,,,,,,,,,
Z103x229A-5,2020,Other,103,,-1,FALSE,229,A,5,,FALSE,,152,169,321,47.35202492,0,0,0.992,0.994,0.993,,,,,,,,,,,,,,,,,
Z113Lx203A-1,2020,Other,113,L,-1,FALSE,203,A,1,,FALSE,,69,6,75,92,2,2.597,0.782,0.452,0.748,,,,,,,,,,,,,,,,,
Z113Lx241A-6,2020,Other,113,L,-1,FALSE,241,A,6,,FALSE,,243,1,244,99.59016393,0,0,0.99,0.657,0.989,,,,,,,,,,,,,,,,,
Z113x204-1,2020,Other,113,,-1,FALSE,204,,1,,FALSE,,106,7,113,93.80530973,1,0.877,0.902,0.607,0.882,,,,,,,,,,,,,,,,,
Z113x241A-2,2020,Other,113,,-1,FALSE,241,A,2,,FALSE,,338,0,338,100,0,0,0.988,nan,0.988,,,,,,,,,,,,,,,,,
Z113x241A-3,2020,Other,113,,-1,FALSE,241,A,3,,FALSE,,153,2,155,98.70967742,0,0,0.974,0.889,0.973,,,,,,,,,,,,,,,,,
Z114Lx204-1,2020,Other,114,L,-1,FALSE,204,,1,,FALSE,,180,0,180,100,0,0,0.987,nan,0.987,,,,,,,,,,,,,,,,,
Z114Lx224-18,2020,Other,114,L,-1,FALSE,224,,18,,FALSE,,14,2,16,87.5,0,0,0.708,0.413,0.671,,,,,,,,,,,,,,,,,
Z114Lx224-8,2020,Other,114,L,-1,FALSE,224,,8,,FALSE,,14,4,18,77.77777778,5,21.739,0.864,0.539,0.76,,,,,,,,,,,,,,,,,
Z114Lx241A-2,2020,Other,114,L,-1,FALSE,241,A,2,,FALSE,,463,1,464,99.78448276,0,0,0.982,0.409,0.981,,,,,,,,,,,,,,,,,
Z12-1x1,2020,Ear,12,,1,R02D11,1,,-1,,FALSE,,189,188,377,50.13262599,0,0,0.995,0.987,0.991,188,184,6,372,50.53763441,1,1,4,4,5,5,-0.405008414,0.405008414,0.991986004,0.00530504,0.021505376,0.013351135
Z12-2x1,2020,Ear,12,,2,R02D11,1,,-1,,FALSE,,124,150,274,45.25547445,0,0,0.991,0.982,0.986,125,160,0,285,43.85964912,-1,1,-10,10,-11,11,1.39582533,1.39582533,1.031824818,-0.008032129,-0.064516129,-0.039355993
Z13-1x1,2020,Ear,13,,1,R146C12,1,,-1,,FALSE,,103,114,217,47.46543779,1,0.459,0.981,0.992,0.987,99,114,0,213,46.47887324,4,4,0,0,4,4,0.986564549,0.986564549,1.021226086,0.03960396,0,0.018604651
Z15-1x1,2020,Ear,15,,1,R22C12,1,,-1,,FALSE,,162,175,337,48.07121662,1,0.296,0.983,0.98,0.982,159,182,0,341,46.62756598,3,3,-7,7,-4,4,1.443650635,1.443650635,1.030961312,0.018691589,-0.039215686,-0.01179941
Z15-6x1,2020,Ear,15,,6,R22C12,1,,-1,,FALSE,,252,240,492,51.2195122,1,0.203,0.989,0.984,0.986,262,272,0,534,49.06367041,-10,10,-32,32,-42,42,2.155841783,2.155841783,1.043939676,-0.038910506,-0.125,-0.081871345
Z15-9x1,2020,Ear,15,,9,R22C12,1,,-1,,FALSE,,166,154,320,51.875,0,0,0.988,0.989,0.988,166,155,0,321,51.71339564,0,0,-1,1,-1,1,0.161604361,0.161604361,1.003125,0,-0.006472492,-0.003120125
Z16-3x1,2020,Ear,16,,3,R178B05,1,,-1,,FALSE,,23,395,418,5.502392344,55,11.628,0.514,0.878,0.824,,,,,,,,,,,,,,,,,
Z16-6x1,2020,Ear,16,,6,R178B05,1,,-1,,FALSE,,178,158,336,52.97619048,1,0.297,0.989,0.991,0.99,178,157,0,335,53.13432836,0,0,1,1,1,1,-0.158137882,0.158137882,0.99702381,0,0.006349206,0.002980626
Z17-2x1,2020,Ear,17,,2,R178B05,1,,-1,,FALSE,,222,252,474,46.83544304,0,0,0.992,0.993,0.992,232,263,0,495,46.86868687,-10,10,-11,11,-21,21,-0.033243831,0.033243831,0.999290703,-0.044052863,-0.042718447,-0.043343653
Z17-3x1,2020,Ear,17,,3,R178B05,1,,-1,,FALSE,,180,185,365,49.31506849,0,0,0.99,0.993,0.992,178,189,0,367,48.5013624,2,2,-4,4,-2,2,0.813706095,0.813706095,1.016776974,0.011173184,-0.021390374,-0.005464481
Z18-6x1,2020,Ear,18,,6,R28D11,1,,-1,,FALSE,,198,193,391,50.63938619,1,0.255,0.989,0.991,0.99,197,192,0,389,50.64267352,1,1,1,1,2,2,-0.003287333,0.003287333,0.999935088,0.005063291,0.005194805,0.005128205
Z19-3x1,2020,Ear,19,,3,R33H05,1,,-1,,FALSE,,235,226,461,50.97613883,0,0,0.993,0.995,0.994,246,236,0,482,51.0373444,-11,11,-10,10,-21,21,-0.06120557,0.06120557,0.998800769,-0.045738046,-0.043290043,-0.044538706
Z1x19-1_NEW,2020,Pollen,1,,-1,FALSE,19,N,1,,R33H05,,254,246,500,50.8,2,0.398,0.979,0.979,0.979,263,263,0,526,50,-9,9,-17,17,-26,26,0.8,0.8,1.016,-0.034816248,-0.066797642,-0.050682261
Z1x200-11_m1,2020,Pollen,1,,-1,FALSE,200,,11,m1,R84A12,,171,246,417,41.00719424,0,0,0.989,0.995,0.993,171,249,0,420,40.71428571,0,0,-3,3,-3,3,0.29290853,0.29290853,1.007194245,0,-0.012121212,-0.007168459
Z1x200-11_m3,2020,Pollen,1,,-1,FALSE,200,,11,m3,R84A12,,35,44,79,44.30379747,4,4.819,0.656,0.942,0.814,11,43,0,54,20.37037037,24,24,1,1,25,25,23.9334271,23.9334271,2.174913694,1.043478261,0.022988506,0.37593985
Z1x200-11_m4,2020,Pollen,1,,-1,FALSE,200,,11,m4,R84A12,,44,48,92,47.82608696,2,2.128,0.818,0.928,0.875,33,43,0,76,43.42105263,11,11,5,5,16,16,4.405034325,4.405034325,1.101449275,0.285714286,0.10989011,0.19047619
Z1x200-7_m1,2020,Pollen,1,,-1,FALSE,200,,7,m1,R84A12,,143,225,368,38.85869565,0,0,0.993,0.994,0.994,145,228,0,373,38.87399464,-2,2,-3,3,-5,5,-0.015298986,0.015298986,0.999606447,-0.013888889,-0.013245033,-0.013495277
Z1x200-7_m2,2020,Pollen,1,,-1,FALSE,200,,7,m2,R84A12,,46,51,97,47.42268041,11,10.185,0.84,0.914,0.879,29,66,0,95,30.52631579,17,17,-15,15,2,2,16.89636462,16.89636462,1.5535016,0.453333333,-0.256410256,0.020833333
Z1x200-7_m3,2020,Pollen,1,,-1,FALSE,200,,7,m3,R84A12,,23,44,67,34.32835821,1,1.471,0.903,0.955,0.937,19,42,0,61,31.14754098,4,4,2,2,6,6,3.180817225,3.180817225,1.102120974,0.19047619,0.046511628,0.09375
Z1x201-1,2020,Pollen,1,,-1,FALSE,201,,1,,R84A12,,93,176,269,34.57249071,2,0.738,0.953,0.985,0.974,90,179,0,269,33.45724907,3,3,-3,3,0,0,1.115241636,1.115241636,1.033333333,0.032786885,-0.016901408,0
Z1x201-2,2020,Pollen,1,,-1,FALSE,201,,2,,R84A12,,80,179,259,30.88803089,3,1.145,0.969,0.982,0.978,83,176,0,259,32.04633205,-3,3,3,3,0,0,-1.158301158,1.158301158,0.963855422,-0.036809816,0.016901408,0
Z1x201-3,2020,Pollen,1,,-1,FALSE,201,,3,,R84A12,,78,147,225,34.66666667,0,0,0.977,0.968,0.971,71,139,0,210,33.80952381,7,7,8,8,15,15,0.857142857,0.857142857,1.025352113,0.093959732,0.055944056,0.068965517
Z1x202A-11_m1,2020,Pollen,1,,-1,FALSE,202,A,11,m1,R84A12,,58,109,167,34.73053892,10,5.65,0.889,0.963,0.936,46,125,0,171,26.9005848,12,12,-16,16,-4,4,7.829954127,7.829954127,1.291070034,0.230769231,-0.136752137,-0.023668639
Z1x202A-11_m2,2020,Pollen,1,,-1,FALSE,202,A,11,m2,R84A12,,17,10,27,62.96296296,6,18.182,0.694,0.79,0.733,1,15,3,16,6.25,16,16,-5,5,11,11,56.71296296,56.71296296,10.07407407,1.777777778,-0.4,0.511627907
Z1x202A-2,2020,Pollen,1,,-1,FALSE,202,A,2,,R84A12,,112,162,274,40.87591241,2,0.725,0.967,0.965,0.966,104,153,0,257,40.46692607,8,8,9,9,17,17,0.408986339,0.408986339,1.010106682,0.074074074,0.057142857,0.064030132
Z1x202A-4_m1,2020,Pollen,1,,-1,FALSE,202,A,4,m1,R84A12,,130,212,342,38.01169591,2,0.581,0.985,0.987,0.986,130,215,0,345,37.68115942,0,0,-3,3,-3,3,0.330536486,0.330536486,1.00877193,0,-0.014051522,-0.008733624
Z1x202A-4_m2,2020,Pollen,1,,-1,FALSE,202,A,4,m2,R84A12,,48,83,131,36.64122137,1,0.758,0.903,0.959,0.939,39,80,0,119,32.77310924,9,9,3,3,12,12,3.86811213,3.86811213,1.118027011,0.206896552,0.036809816,0.096
Z1x202A-4_m4,2020,Pollen,1,,-1,FALSE,202,A,4,m4,R84A12,,50,75,125,40,2,1.575,0.944,0.961,0.954,41,73,0,114,35.96491228,9,9,2,2,11,11,4.035087719,4.035087719,1.112195122,0.197802198,0.027027027,0.092050209
Z1x202B-1,2020,Pollen,1,,-1,FALSE,202,B,1,,R84A12,,2,388,390,0.512820513,8,2.01,0.515,0.975,0.964,1,405,1,406,0.246305419,1,1,-17,17,-16,16,0.266515094,0.266515094,2.082051282,0.666666667,-0.042875158,-0.040201005
Z1x202B-4,2020,Pollen,1,,-1,FALSE,202,B,4,,R84A12,,5,346,351,1.424501425,8,2.228,0.559,0.967,0.953,,,,,,,,,,,,,,,,,
Z1x203A-1,2020,Pollen,1,,-1,FALSE,203,A,1,,R84A12,,236,4,240,98.33333333,5,2.041,0.975,0.689,0.965,219,3,0,222,98.64864865,17,17,1,1,18,18,-0.315315315,0.315315315,0.996803653,0.074725275,0.285714286,0.077922078
Z1x203A-3,2020,Pollen,1,,-1,FALSE,203,A,3,,R84A12,,240,2,242,99.17355372,2,0.82,0.974,0.689,0.969,220,0,0,220,100,20,20,2,2,22,22,-0.826446281,0.826446281,0.991735537,0.086956522,2,0.095238095
Z1x203A-5,2020,Pollen,1,,-1,FALSE,203,A,5,,R84A12,,171,8,179,95.53072626,1,0.556,0.931,0.669,0.918,166,0,3,166,100,5,5,8,8,13,13,-4.469273743,4.469273743,0.955307263,0.029673591,2,0.075362319
Z1x203B-2,2020,Pollen,1,,-1,FALSE,203,B,2,,R84A12,,85,213,298,28.52348993,1,0.334,0.973,0.977,0.976,72,206,0,278,25.89928058,13,13,7,7,20,20,2.624209357,2.624209357,1.101323639,0.165605096,0.033412888,0.069444444
Z1x203B-4,2020,Pollen,1,,-1,FALSE,203,B,4,,R84A12,,88,233,321,27.41433022,1,0.311,0.976,0.989,0.985,87,229,0,316,27.53164557,1,1,4,4,5,5,-0.117315352,0.117315352,0.995738891,0.011428571,0.017316017,0.015698587
Z1x203B-5,2020,Pollen,1,,-1,FALSE,203,B,5,,R84A12,,108,220,328,32.92682927,2,0.606,0.98,0.983,0.982,105,221,0,326,32.20858896,3,3,-1,1,2,2,0.718240311,0.718240311,1.022299652,0.028169014,-0.004535147,0.006116208
Z1x205-1,2020,Pollen,1,,-1,FALSE,205,,1,,R82A03,,138,229,367,37.60217984,3,0.811,0.979,0.984,0.982,139,233,0,372,37.3655914,-1,1,-4,4,-5,5,0.236588439,0.236588439,1.006331719,-0.007220217,-0.017316017,-0.0135318
Z1x205-2_NEW,2020,Pollen,1,,-1,FALSE,205,N,2,,R82A03,,140,273,413,33.89830508,4,0.959,0.959,0.975,0.969,,,,,,,,,,,,,,,,,
Z1x205-3,2020,Pollen,1,,-1,FALSE,205,,3,,R82A03,,67,153,220,30.45454545,2,0.901,0.966,0.974,0.971,65,147,0,212,30.66037736,2,2,6,6,8,8,-0.205831904,0.205831904,0.993286713,0.03030303,0.04,0.037037037
Z1x205-7,2020,Pollen,1,,-1,FALSE,205,,7,,R82A03,,103,207,310,33.22580645,0,0,0.959,0.991,0.981,88,210,5,298,29.53020134,15,15,-3,3,12,12,3.695605109,3.695605109,1.125146628,0.157068063,-0.014388489,0.039473684
Z1x205-9,2020,Pollen,1,,-1,FALSE,205,,9,,R82A03,,123,142,265,46.41509434,0,0,0.99,0.996,0.993,121,141,0,262,46.18320611,2,2,1,1,3,3,0.231888233,0.231888233,1.005021051,0.016393443,0.007067138,0.011385199
Z1x207-2,2020,Other,1,,-1,FALSE,207,,2,,R82A03 R84A12,,224,3,227,98.6784141,3,1.304,0.984,0.569,0.973,208,0,0,208,100,16,16,3,3,19,19,-1.321585903,1.321585903,0.986784141,0.074074074,2,0.087356322
Z1x207-3,2020,Other,1,,-1,FALSE,207,,3,,R82A03 R84A12,,264,24,288,91.66666667,3,1.031,0.978,0.87,0.968,266,5,11,271,98.15498155,-2,2,19,19,17,17,-6.488314883,6.488314883,0.933897243,-0.00754717,1.310344828,0.060822898
Z1x207-4,2020,Other,1,,-1,FALSE,207,,4,,R82A03 R84A12,,218,11,229,95.19650655,5,2.137,0.976,0.767,0.962,199,26,0,225,88.44444444,19,19,-15,15,4,4,6.752062106,6.752062106,1.076342411,0.091127098,-0.810810811,0.017621145
Z1x220-12_m1,2020,Pollen,1,,-1,FALSE,220,,12,m1,R71A11,,16,203,219,7.305936073,8,3.524,0.793,0.95,0.934,7,208,1,215,3.255813953,9,9,-5,5,4,4,4.05012212,4.05012212,2.24396608,0.782608696,-0.0243309,0.01843318
Z1x220-12_m3,2020,Pollen,1,,-1,FALSE,220,,12,m3,R71A11,,17,116,133,12.78195489,9,6.338,0.74,0.955,0.918,6,128,0,134,4.47761194,11,11,-12,12,-1,1,8.304342947,8.304342947,2.854636591,0.956521739,-0.098360656,-0.007490637
Z1x220-12_m4,2020,Pollen,1,,-1,FALSE,220,,12,m4,R71A11,,16,88,104,15.38461538,4,3.704,0.583,0.955,0.889,5,85,0,90,5.555555556,11,11,3,3,14,14,9.829059829,9.829059829,2.769230769,1.047619048,0.034682081,0.144329897
Z1x220-12_m5,2020,Pollen,1,,-1,FALSE,220,,12,m5,R71A11,,14,250,264,5.303030303,2,0.752,0.837,0.975,0.967,9,244,0,253,3.557312253,5,5,6,6,11,11,1.74571805,1.74571805,1.490740741,0.434782609,0.024291498,0.042553191
Z1x220-13_m1,2020,Pollen,1,,-1,FALSE,220,,13,m1,R71A11,,16,279,295,5.423728814,2,0.673,0.845,0.981,0.972,10,288,0,298,3.355704698,6,6,-9,9,-3,3,2.068024116,2.068024116,1.616271186,0.461538462,-0.031746032,-0.010118044
Z1x220-13_m2,2020,Pollen,1,,-1,FALSE,220,,13,m2,R71A11,,14,148,162,8.641975309,4,2.41,0.818,0.975,0.958,7,147,0,154,4.545454545,7,7,1,1,8,8,4.096520763,4.096520763,1.901234568,0.666666667,0.006779661,0.050632911
Z1x220-13_m3,2020,Pollen,1,,-1,FALSE,220,,13,m3,R71A11,,68,145,213,31.92488263,1,0.467,0.776,0.978,0.913,9,142,0,151,5.960264901,59,59,3,3,62,62,25.96461773,25.96461773,5.356285863,1.532467532,0.020905923,0.340659341
Z1x220-13_m4,2020,Pollen,1,,-1,FALSE,220,,13,m4,R71A11,,13,143,156,8.333333333,5,3.106,0.78,0.952,0.934,8,138,0,146,5.479452055,5,5,5,5,10,10,2.853881279,2.853881279,1.520833333,0.476190476,0.035587189,0.066225166
Z1x220-3,2020,Pollen,1,,-1,FALSE,220,,3,,R71A11,,20,218,238,8.403361345,4,1.653,0.792,0.967,0.95,15,213,0,228,6.578947368,5,5,5,5,10,10,1.824413976,1.824413976,1.277310924,0.285714286,0.023201856,0.042918455
Z1x230-6,2020,Pollen,1,,-1,FALSE,230,,6,,R82C05,,27,287,314,8.598726115,8,2.484,0.838,0.966,0.953,20,293,0,313,6.389776358,7,7,-6,6,1,1,2.208949757,2.208949757,1.345700637,0.29787234,-0.020689655,0.003189793
Z1x230-7,2020,Pollen,1,,-1,FALSE,230,,7,,R82C05,,23,375,398,5.778894472,0,0,0.99,0.991,0.991,23,383,0,406,5.665024631,0,0,-8,8,-8,8,0.113869842,0.113869842,1.020100503,0,-0.021108179,-0.019900498
Z1x231-4,2020,Pollen,1,,-1,FALSE,231,,4,,R82C05,,41,283,324,12.65432099,2,0.613,0.921,0.97,0.963,34,299,0,333,10.21021021,7,7,-16,16,-9,9,2.444110777,2.444110777,1.239379085,0.186666667,-0.054982818,-0.02739726
Z1x240A-2,2020,Pollen,1,,-1,FALSE,240,A,2,,R82C05,,42,456,498,8.43373494,8,1.581,0.801,0.97,0.953,35,540,1,575,6.086956522,7,7,-84,84,-77,77,2.346778418,2.346778418,1.385542169,0.181818182,-0.168674699,-0.143522833
Z1x240A-6,2020,Pollen,1,,-1,FALSE,240,A,6,,R82C05,,84,270,354,23.72881356,0,0,0.986,0.98,0.981,84,289,0,373,22.52010724,0,0,-19,19,-19,19,1.208706321,1.208706321,1.053672316,0,-0.067978533,-0.052269601
Z1x240A-7,2020,Pollen,1,,-1,FALSE,240,A,7,,R82C05,,29,115,144,20.13888889,4,2.703,0.755,0.943,0.902,20,107,0,127,15.7480315,9,9,8,8,17,17,4.390857393,4.390857393,1.278819444,0.367346939,0.072072072,0.125461255
Z1x240B-1,2020,Pollen,1,,-1,FALSE,240,B,1,,R82C05,,3,249,252,1.19047619,5,1.946,0.434,0.965,0.949,,,,,,,,,,,,,,,,,
Z1x240B-4,2020,Pollen,1,,-1,FALSE,240,B,4,,R82C05,,9,291,300,3,6,1.961,0.594,0.956,0.939,,,,,,,,,,,,,,,,,
Z1x240B-7,2020,Pollen,1,,-1,FALSE,240,B,7,,R82C05,,4,230,234,1.709401709,5,2.092,0.425,0.949,0.93,,,,,,,,,,,,,,,,,
Z1x240B-8,2020,Pollen,1,,-1,FALSE,240,B,8,,R82C05,,7,322,329,2.127659574,11,3.235,0.547,0.963,0.941,,,,,,,,,,,,,,,,,
